MATRIX1
R, 0x74,
R, 0xE0,
W, 0xE0, 551

R, 0x34,
R, 0x84,
R, 0xE0,
W, 0xE0, 619

R, 0x38,
R, 0x94,
R, 0xE0,
W, 0xE0, 869

R, 0x3C,
R, 0xA4,
R, 0xE0,
W, 0xE0, 895

RESULT4,2f
R, 0x30,
R, 0x78,
R, 0xE4,
W, 0xE4, 377

R, 0x34,
R, 0x88,
R, 0xE4,
W, 0xE4, 734

R, 0x38,
R, 0x98,
R, 0xE4,
W, 0xE4, 734

R, 0x3C,
R, 0xA8,
R, 0xE4,
W, 0xE4, 741

RESULT4,3f
R, 0x30,
R, 0x7C,
R, 0xE8,
W, 0xE8, 1421

R, 0x34,
R, 0x8C,
R, 0xE8,
W, 0xE8, 2050

R, 0x38,
R, 0x9C,
R, 0xE8,
W, 0xE8, 2090

R, 0x3C,
R, 0xAC,
R, 0xE8,
W, 0xE8, 2103

RESULT4,4F
R, 0x30,
R, 0x80,
R, 0xEC,
W, 0xEC, 638

R, 0x34,
R, 0x90,
R, 0xEC,
W, 0xEC, 1216

R, 0x38,
R, 0xA0,
R, 0xEC,
W, 0xEC, 1286

R, 0x3C,
R, 0xB0,
R, 0xEC,
W, 0xEC, 1286
